customer_id,recency,frequency,monetary,r_score,f_score,m_score,segment
12608,425,1,415.79,1,1,2,Lost/Others
12609,99,9,3435.86,1,2,3,At Risk
12610,43,5,2099.54,2,2,3,Loyal Customers
12611,73,1,1193.32,2,1,3,Lost/Others
12612,95,1,704.04,1,1,2,Lost/Others
12613,78,10,6835.07,2,3,3,Loyal Customers
12614,298,1,315.6,1,1,2,Lost/Others
12615,23,8,5740.98,3,2,3,Loyal Customers
12616,116,3,1131.1,1,1,3,Lost/Others
12617,50,1,355.53,2,1,2,Lost/Others
12618,42,1,177.31,2,1,1,Lost/Others
12619,37,10,3781.38,2,3,3,Loyal Customers
12620,35,3,1339.41,2,1,3,Lost/Others
12621,22,35,24775.81,3,3,3,Champions
12622,253,1,180.1,1,1,1,Lost/Others
12623,297,7,3747.84,1,2,3,At Risk
12624,127,2,641.13,1,1,2,Lost/Others
12625,232,4,5164.88,1,2,3,At Risk
12626,44,9,6620.48,2,2,3,Loyal Customers
12627,31,7,4478.53,2,2,3,Loyal Customers
12628,25,3,786.46,3,1,2,New Customers
12629,406,2,1558.22,1,1,3,Lost/Others
12630,30,2,1270.88,3,1,3,New Customers
12631,78,6,3481.57,2,2,3,Loyal Customers
12632,541,2,804.88,1,1,2,Lost/Others
12633,79,7,5678.16,2,2,3,Loyal Customers
12634,556,2,490.0,1,1,2,Lost/Others
12635,110,4,2930.41,1,2,3,At Risk
12636,759,1,141.0,1,1,1,Lost/Others
12637,88,12,8340.31,2,3,3,Loyal Customers
12638,54,2,921.49,2,1,2,Lost/Others
12639,259,3,1312.37,1,1,3,Lost/Others
12640,44,3,1174.58,2,1,3,Lost/Others
12641,136,1,185.9,1,1,1,Lost/Others
12642,46,3,1013.26,2,1,3,Lost/Others
12643,149,12,8350.42,1,3,3,At Risk
12644,150,4,1918.49,1,2,3,At Risk
12645,54,8,3539.3,2,2,3,Loyal Customers
12646,25,2,1346.97,3,1,3,New Customers
12647,43,36,17924.35,2,3,3,Loyal Customers
12648,175,4,1112.0,1,2,3,At Risk
12649,128,8,2294.65,1,2,3,At Risk
12650,24,1,314.44,3,1,2,New Customers
12651,355,4,377.75,1,2,2,At Risk
12652,352,2,1017.03,1,1,3,Lost/Others
12653,169,3,4160.83,1,1,3,Lost/Others
12654,31,5,601.98,2,2,2,Loyal Customers
12655,444,1,261.35,1,1,1,Lost/Others
12656,38,8,6407.83,2,2,3,Loyal Customers
12657,32,4,1643.18,2,2,3,Loyal Customers
12658,39,1,686.05,2,1,2,Lost/Others
12659,50,1,91.68,2,1,1,Lost/Others
12660,32,1,245.1,2,1,1,Lost/Others
12661,457,1,162.0,1,1,1,Lost/Others
12662,21,20,6988.02,3,3,3,Champions
12663,645,2,239.4,1,1,1,Lost/Others
12664,29,11,6070.04,3,3,3,Champions
12665,345,3,313.6,1,1,2,Lost/Others
12666,415,1,1248.42,1,1,3,Lost/Others
12667,79,1,620.13,2,1,2,Lost/Others
12668,32,10,11444.68,2,3,3,Loyal Customers
12669,171,3,2744.03,1,1,3,Lost/Others
12670,31,7,3760.29,2,2,3,Loyal Customers
12671,627,1,2622.48,1,1,3,Lost/Others
12672,350,2,437.05,1,1,2,Lost/Others
12673,26,3,1230.02,3,1,3,New Customers
12674,59,4,1970.6,2,2,3,Loyal Customers
12675,574,2,958.5,1,1,2,Lost/Others
12676,45,11,2843.09,2,3,3,Loyal Customers
12677,576,2,395.1,1,1,2,Lost/Others
12678,63,21,34281.18,2,3,3,Loyal Customers
12679,79,4,1113.02,2,2,3,Loyal Customers
12680,21,4,880.81,3,2,2,Loyal Customers
12681,35,45,30868.28,2,3,3,Loyal Customers
12682,24,52,24033.91,3,3,3,Champions
12683,25,21,12696.78,3,3,3,Champions
12684,28,7,2283.63,3,2,3,Loyal Customers
12685,49,6,2863.08,2,2,3,Loyal Customers
12686,392,1,178.28,1,1,1,Lost/Others
12687,501,2,2138.91,1,1,3,Lost/Others
12688,134,1,4873.81,1,1,3,Lost/Others
12689,46,2,1247.61,2,1,3,Lost/Others
12690,226,1,389.01,1,1,2,Lost/Others
12691,49,7,1170.4,2,2,3,Loyal Customers
12692,658,1,110.95,1,1,1,Lost/Others
12693,148,7,1703.02,1,2,3,At Risk
12694,91,3,1843.35,1,1,3,Lost/Others
12695,28,7,1407.12,3,2,3,Loyal Customers
12696,455,2,851.91,1,1,2,Lost/Others
12697,49,3,957.59,2,1,2,Lost/Others
12698,611,1,339.75,1,1,2,Lost/Others
12699,438,1,638.11,1,1,2,Lost/Others
12700,28,4,4939.99,3,2,3,Loyal Customers
12701,100,6,2446.41,1,2,3,At Risk
12702,40,1,219.0,2,1,1,Lost/Others
12703,92,4,1006.53,1,2,3,At Risk
12704,28,8,2340.84,3,2,3,Loyal Customers
12705,36,14,11762.1,2,3,3,Loyal Customers
12707,312,1,603.42,1,1,2,Lost/Others
12708,50,18,5314.1,2,3,3,Loyal Customers
12709,36,34,31093.34,2,3,3,Loyal Customers
12710,117,3,1149.02,1,1,3,Lost/Others
12711,632,2,1339.05,1,1,3,Lost/Others
12712,49,21,7193.66,2,3,3,Loyal Customers
12713,21,1,848.55,3,1,2,New Customers
12714,30,12,14093.71,3,3,3,Champions
12715,127,1,353.86,1,1,2,Lost/Others
12716,24,2,1053.49,3,1,3,New Customers
12717,172,3,1308.91,1,1,3,Lost/Others
12718,92,1,238.25,1,1,1,Lost/Others
12719,26,2,644.95,3,1,2,New Customers
12720,23,30,8260.67,3,3,3,Champions
12721,52,8,4013.08,2,2,3,Loyal Customers
12722,106,4,997.63,1,2,2,At Risk
12723,24,5,725.07,3,2,2,Loyal Customers
12724,26,7,2317.52,3,2,3,Loyal Customers
12725,392,4,2694.56,1,2,3,At Risk
12726,49,11,4014.6,2,3,3,Loyal Customers
12727,31,10,5679.53,2,3,3,Loyal Customers
12728,92,5,1070.17,1,2,3,At Risk
12729,134,1,453.01,1,1,2,Lost/Others
12730,542,1,829.25,1,1,2,Lost/Others
12731,44,17,25775.71,2,3,3,Loyal Customers
12732,200,1,236.26,1,1,1,Lost/Others
12733,255,4,2424.87,1,2,3,At Risk
12734,373,3,639.65,1,1,2,Lost/Others
12735,336,2,779.57,1,1,2,Lost/Others
12736,353,1,234.0,1,1,1,Lost/Others
12737,519,2,3710.5,1,1,3,Lost/Others
12738,393,1,310.7,1,1,2,Lost/Others
12739,99,4,2726.73,1,2,3,At Risk
12740,84,1,427.6,2,1,2,Lost/Others
12741,550,2,406.07,1,1,2,Lost/Others
12742,646,1,1201.52,1,1,3,Lost/Others
12743,155,2,546.43,1,1,2,Lost/Others
12744,72,11,25317.06,2,3,3,Loyal Customers
12745,507,3,925.41,1,1,2,Lost/Others
12746,561,1,254.55,1,1,1,Lost/Others
12747,23,26,9276.54,3,3,3,Champions
12748,21,336,56599.39,3,3,3,Champions
12749,24,9,6897.36,3,2,3,Loyal Customers
12750,149,1,275.88,1,1,1,Lost/Others
12751,465,1,268.27,1,1,1,Lost/Others
12752,102,1,4366.78,1,1,3,Lost/Others
12753,43,6,21429.39,2,2,3,Loyal Customers
12754,256,3,3010.74,1,1,3,Lost/Others
12755,301,11,9030.66,1,3,3,At Risk
12756,107,1,112.08,1,1,1,Lost/Others
12757,36,13,7857.1,2,3,3,Loyal Customers
12758,137,7,9903.24,1,2,3,At Risk
12759,73,8,5020.74,2,2,3,Loyal Customers
12760,476,1,347.8,1,1,2,Lost/Others
12761,478,2,782.95,1,1,2,Lost/Others
12762,28,2,1898.52,3,1,3,New Customers
12763,159,2,814.16,1,1,2,Lost/Others
12764,337,1,1693.88,1,1,3,Lost/Others
12765,493,6,1404.58,1,2,3,At Risk
12766,24,9,10068.28,3,2,3,Loyal Customers
12767,396,1,949.82,1,1,2,Lost/Others
12768,471,1,168.69,1,1,1,Lost/Others
12769,259,1,1143.6,1,1,3,Lost/Others
12770,231,2,3246.45,1,1,3,Lost/Others
12771,506,1,282.3,1,1,1,Lost/Others
12772,80,1,892.47,2,1,2,Lost/Others
12773,585,1,124.25,1,1,1,Lost/Others
12774,556,1,98.7,1,1,1,Lost/Others
12775,38,7,1686.12,2,2,3,Loyal Customers
12776,688,1,55.5,1,1,1,Lost/Others
12777,478,1,519.45,1,1,2,Lost/Others
12778,40,9,1775.68,2,2,3,Loyal Customers
12779,58,14,6722.27,2,3,3,Loyal Customers
12780,619,1,337.4,1,1,2,Lost/Others
12781,84,2,826.74,2,1,2,Lost/Others
12782,25,11,4618.24,3,3,3,Champions
12783,23,6,2225.91,3,2,3,Loyal Customers
12784,30,3,1804.75,3,1,3,New Customers
12785,385,3,1100.4,1,1,3,Lost/Others
12786,630,1,728.5,1,1,2,Lost/Others
12787,30,4,862.18,3,2,2,Loyal Customers
12788,484,4,444.9,1,2,2,At Risk
12789,86,3,273.35,2,1,1,Lost/Others
12790,213,2,591.85,1,1,2,Lost/Others
12791,394,6,1056.11,1,2,3,At Risk
12792,277,2,827.01,1,1,2,Lost/Others
12793,355,3,1017.33,1,1,3,Lost/Others
12794,74,2,860.41,2,1,2,Lost/Others
12795,39,1,430.48,2,1,2,Lost/Others
12796,649,1,381.0,1,1,2,Lost/Others
12797,386,2,806.11,1,1,2,Lost/Others
12798,31,4,8510.93,2,2,3,Loyal Customers
12799,550,1,219.35,1,1,1,Lost/Others
12800,491,3,584.25,1,1,2,Lost/Others
12801,521,1,1071.82,1,1,3,Lost/Others
12802,207,7,2416.42,1,2,3,At Risk
12803,414,1,1092.81,1,1,3,Lost/Others
12804,486,2,327.02,1,1,2,Lost/Others
12805,402,4,1434.95,1,2,3,At Risk
12806,456,4,2878.96,1,2,3,At Risk
12807,404,1,330.35,1,1,2,Lost/Others
12808,57,5,906.1,2,2,2,Loyal Customers
12809,198,3,1755.94,1,1,3,Lost/Others
12810,555,2,534.99,1,1,2,Lost/Others
12811,281,5,1033.9,1,2,3,At Risk
12812,65,1,229.64,2,1,1,Lost/Others
12813,522,3,1687.8,1,1,3,Lost/Others
12814,122,1,125.92,1,1,1,Lost/Others
12815,168,2,1063.46,1,1,3,Lost/Others
12816,116,2,572.2,1,1,2,Lost/Others
12817,302,3,690.98,1,1,2,Lost/Others
12818,282,1,1542.08,1,1,3,Lost/Others
12819,479,1,540.52,1,1,2,Lost/Others
12820,24,11,2689.52,3,3,3,Champions
12821,235,2,220.8,1,1,1,Lost/Others
12822,91,2,948.88,1,1,2,Lost/Others
12823,95,18,6501.5,1,3,3,At Risk
12824,80,1,397.12,2,1,2,Lost/Others
12825,542,2,518.63,1,1,2,Lost/Others
12826,23,12,2955.75,3,3,3,Champions
12827,26,3,430.15,3,1,2,New Customers
12828,23,6,1018.71,3,2,3,Loyal Customers
12829,357,3,385.3,1,1,2,Lost/Others
12830,58,6,6814.64,2,2,3,Loyal Customers
12831,283,3,451.11,1,1,2,Lost/Others
12832,53,2,383.03,2,1,2,Lost/Others
12833,166,1,417.38,1,1,2,Lost/Others
12834,303,1,312.38,1,1,2,Lost/Others
12835,448,41,6043.31,1,3,3,At Risk
12836,80,15,6585.62,2,3,3,Loyal Customers
12837,194,2,688.41,1,1,2,Lost/Others
12838,54,10,3398.48,2,3,3,Loyal Customers
12839,23,26,10071.73,3,3,3,Champions
12840,164,7,4041.97,1,2,3,At Risk
12841,25,40,7540.68,3,3,3,Champions
12842,91,4,1917.99,1,2,3,At Risk
12843,86,30,6588.41,2,3,3,Loyal Customers
12844,50,4,648.6,2,2,2,Loyal Customers
12845,288,4,354.09,1,2,2,At Risk
12846,703,1,15.58,1,1,1,Lost/Others
12847,43,2,1636.9,2,1,3,Lost/Others
12848,696,1,208.0,1,1,1,Lost/Others
12849,52,6,3090.56,2,2,3,Loyal Customers
12850,466,1,330.0,1,1,2,Lost/Others
12851,117,2,284.13,1,1,1,Lost/Others
12852,315,1,311.55,1,1,2,Lost/Others
12853,155,11,3907.5,1,3,3,At Risk
12854,99,7,2994.02,1,2,3,At Risk
12855,393,4,650.94,1,2,2,At Risk
12856,28,6,2179.93,3,2,3,Loyal Customers
12857,231,6,3688.0,1,2,3,At Risk
12858,404,1,177.92,1,1,1,Lost/Others
12859,479,1,575.1,1,1,2,Lost/Others
12860,714,1,55.47,1,1,1,Lost/Others
12861,640,1,68.25,1,1,1,Lost/Others
12862,446,2,1008.32,1,1,3,Lost/Others
12863,73,6,2792.55,2,2,3,Loyal Customers
12864,159,2,299.57,1,1,1,Lost/Others
12865,47,4,3323.47,2,2,3,Loyal Customers
12866,304,3,1227.35,1,1,3,Lost/Others
12867,47,13,7913.29,2,3,3,Loyal Customers
12868,206,8,2247.06,1,2,3,At Risk
12869,702,1,337.67,1,1,2,Lost/Others
12870,396,3,1676.95,1,1,3,Lost/Others
12871,105,3,744.02,1,1,2,Lost/Others
12872,347,12,3685.49,1,3,3,At Risk
12873,303,3,2027.3,1,1,3,Lost/Others
12874,406,2,948.42,1,1,2,Lost/Others
12875,164,5,1356.99,1,2,3,At Risk
12876,78,4,4081.79,2,2,3,Loyal Customers
12877,24,20,2955.17,3,3,3,Champions
12878,257,2,854.99,1,1,2,Lost/Others
12879,65,3,573.22,2,1,2,Lost/Others
12880,402,2,640.13,1,1,2,Lost/Others
12881,296,1,298.0,1,1,1,Lost/Others
12882,30,2,1463.04,3,1,3,New Customers
12883,45,4,703.47,2,2,2,Loyal Customers
12884,109,1,309.05,1,1,2,Lost/Others
12885,84,3,1175.22,2,1,3,Lost/Others
12886,88,2,1378.4,2,1,3,Lost/Others
12887,404,1,222.4,1,1,1,Lost/Others
12888,235,2,354.12,1,1,2,Lost/Others
12889,402,4,385.46,1,2,2,At Risk
12890,45,2,717.27,2,1,2,Lost/Others
12891,206,11,840.5,1,3,2,At Risk
12892,417,1,263.38,1,1,1,Lost/Others
12893,51,1,188.14,2,1,1,Lost/Others
12894,596,1,157.35,1,1,1,Lost/Others
12895,63,2,372.8,2,1,2,Lost/Others
12897,225,4,514.25,1,2,2,At Risk
12898,484,2,310.96,1,1,2,Lost/Others
12899,434,1,366.4,1,1,2,Lost/Others
12900,443,1,340.33,1,1,2,Lost/Others
12901,29,28,17654.54,3,3,3,Champions
12902,285,1,138.68,1,1,1,Lost/Others
12903,449,1,833.53,1,1,2,Lost/Others
12904,39,2,509.58,2,1,2,Lost/Others
12905,597,2,1018.42,1,1,3,Lost/Others
12906,32,5,2919.81,2,2,3,Loyal Customers
12907,416,2,508.91,1,1,2,Lost/Others
12908,197,5,1776.0,1,2,3,At Risk
12909,60,8,3103.19,2,2,3,Loyal Customers
12910,44,13,5796.52,2,3,3,Loyal Customers
12911,572,1,1680.47,1,1,3,Lost/Others
12912,23,5,1662.3,3,2,3,Loyal Customers
12913,25,13,6700.86,3,3,3,Champions
12914,421,1,223.98,1,1,1,Lost/Others
12915,169,4,1174.75,1,2,3,At Risk
12916,159,7,4654.02,1,2,3,At Risk
12917,149,6,4359.2,1,2,3,At Risk
12918,647,1,10953.5,1,1,3,Lost/Others
12919,29,6,1335.19,3,2,3,Loyal Customers
12920,38,4,488.09,2,2,2,Loyal Customers
12921,30,74,35921.04,3,3,3,Champions
